BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
11214,6015356,11214,"Technic, Axle  1L with Pin 2L with Friction Ridges",85,72,Dark Bluish Gray,Solid Colors,2,0.35
11477,6028813,11477,"Slope, Curved 2 x 1 x 2/3",86,71,Light Bluish Gray,Solid Colors,2,0.31
15100,6282140,15100,"Technic, Pin with Friction Ridges and Pin Hole",11,0,Black,Solid Colors,10,0.4
15413,6055626,15413,Tire 49.5 x 20,11,256,Rubber Black,Rubber Colors,4,12.0
15462,6159763,15462,"Technic, Axle  5L with Stop",88,70,Reddish Brown,Solid Colors,2,0.73
18651,6089119,18651,"Technic, Axle  2L with Pin with Friction Ridges",11,0,Black,Solid Colors,4,0.32
18654,6100030,18654,"Technic, Liftarm Thick 1 x 1 (Spacer)",85,72,Dark Bluish Gray,Solid Colors,2,0.17
2357,4558606,2357,Brick 2 x 2 Corner,7,1,Blue,Solid Colors,2,1.25
2431,4211356,2431,Tile 1 x 4,86,71,Light Bluish Gray,Solid Colors,2,0.54
2431,243124,2431,Tile 1 x 4,3,14,Yellow,Solid Colors,1,0.54
2445,244523,2445,Plate 2 x 12,7,1,Blue,Solid Colors,2,3.5
2465,4211366,2465,Brick 1 x 16,86,71,Light Bluish Gray,Solid Colors,1,6.2
2730,4211374,2730,"Technic, Brick 1 x 10 with Holes",86,71,Light Bluish Gray,Solid Colors,1,3.67
2730,273023,2730,"Technic, Brick 1 x 10 with Holes",7,1,Blue,Solid Colors,2,3.67
2780,6279875,2780,"Technic, Pin with Friction Ridges",11,0,Black,Solid Colors,201,0.16
2815,6028041,2815,Tire Technic Wedge Belt Wheel,11,256,Rubber Black,Rubber Colors,10,0.75
3001,300123,3001,Brick 2 x 4,7,1,Blue,Solid Colors,7,2.32
3001,300121,3001,Brick 2 x 4,5,4,Red,Solid Colors,3,2.32
3002,300223,3002,Brick 2 x 3,7,1,Blue,Solid Colors,2,1.92
3003,300321,3003,Brick 2 x 2,5,4,Red,Solid Colors,2,1.35
3021,302121,3021,Plate 2 x 3,5,4,Red,Solid Colors,2,0.93
3021,302123,3021,Plate 2 x 3,7,1,Blue,Solid Colors,8,0.93
3023,302321,3023,Plate 1 x 2,5,4,Red,Solid Colors,14,0.36
3023,302323,3023,Plate 1 x 2,7,1,Blue,Solid Colors,10,0.36
3028,6186644,3028,Plate 6 x 12,7,1,Blue,Solid Colors,2,9.47
3032,303223,3032,Plate 4 x 6,7,1,Blue,Solid Colors,2,3.3
3033,4541680,3033,Plate 6 x 10,7,1,Blue,Solid Colors,2,7.95
3034,303423,3034,Plate 2 x 8,7,1,Blue,Solid Colors,7,2.27
3068b,4211413,3068b,Tile 2 x 2 with Groove,86,71,Light Bluish Gray,Solid Colors,2,0.48
3069b,306923,3069b,Tile 1 x 2 with Groove,7,1,Blue,Solid Colors,2,0.26
3069b,4211414,3069b,Tile 1 x 2 with Groove,86,71,Light Bluish Gray,Solid Colors,2,0.26
32013,6284699,32013,"Technic, Axle and Pin Connector Angled #1",11,0,Black,Solid Colors,2,0.46
32017,4503416,32017,"Technic, Liftarm Thin 1 x 5",86,71,Light Bluish Gray,Solid Colors,2,0.58
32054,6347789,32054,"Technic, Pin 3L with Friction Ridges and Stop Bush",5,4,Red,Solid Colors,14,0.33
32062,4142865,32062,"Technic, Axle  2L Notched",5,4,Red,Solid Colors,6,0.26
4265c,6271167,4265c,Technic Bush 1/2 Smooth,3,14,Yellow,Solid Colors,2,0.1
